movie,year,imdb,votes,gross,movie ID,genre1,genre2,genre3,director,actor1,actor2,actor3,actor4,actor5,actor6
To Catch a Thief,1955,7.4,66487,8750000,/title/tt0048728/,Mystery,Romance,Thriller            ,Alfred Hitchcock,Cary Grant,Grace Kelly,Jessie Royce Landis,John Williams,Charles Vanel,Brigitte Auber
The Postman Always Rings Twice,1946,7.5,18968,8330000,/title/tt0038854/,Crime,Drama,Film-Noir            ,Tay Garnett,Lana Turner,John Garfield,Cecil Kellaway,Hume Cronyn,Leon Ames,Audrey Totter
Witness for the Prosecution,1957,8.4,111246,8175000,/title/tt0051201/,Crime,Drama,Mystery            ,Billy Wilder,Tyrone Power,Marlene Dietrich,Charles Laughton,Elsa Lanchester,John Williams,Henry Daniell
Holiday Inn,1942,7.4,13664,8175000,/title/tt0034862/,Comedy,Drama,Music            ,Mark Sandrich,Bing Crosby,Fred Astaire,Marjorie Reynolds,Virginia Dale,Walter Abel,Louise Beavers
Shanghai Express,1932,7.3,7938,8066000,/title/tt0023458/,Adventure,Drama,Romance            ,Josef von Sternberg,Marlene Dietrich,Clive Brook,Anna May Wong,Warner Oland,Eugene Pallette,Lawrence Grant
Island in the Sun,1957,6.1,1076,8000000,/title/tt0050549/,Drama,Romance            ,,Robert Rossen,James Mason,Joan Fontaine,Dorothy Dandridge,Joan Collins,Michael Rennie,Harry Belafonte
A Streetcar Named Desire,1951,8,100251,8000000,/title/tt0044081/,Drama            ,,,Elia Kazan,Vivien Leigh,Marlon Brando,Kim Hunter,Karl Malden,Rudy Bond,Nick Dennis
Annie Get Your Gun,1950,6.9,4426,8000000,/title/tt0042200/,Biography,Comedy,Musical            ,George Sidney,Betty Hutton,Howard Keel,Louis Calhern,J. Carrol Naish,Edward Arnold,Keenan Wynn
Ziegfeld Follies,1945,6.5,2921,7930000,/title/tt0039116/,Comedy,Musical            ,,Lemuel Ayers,Fred Astaire,Lucille Ball,Lucille Bremer,Fanny Brice,Judy Garland,Kathryn Grayson
Pardners,1956,6.3,1437,7920000,/title/tt0049593/,Action,Comedy,Music            ,Norman Taurog,Dean Martin,Jerry Lewis,Lori Nelson,Jeff Morrow,Jackie Loughery,John Baragrey
Strangers on a Train,1951,7.9,124406,7630000,/title/tt0044079/,Crime,Film-Noir,Thriller            ,Alfred Hitchcock,Farley Granger,Ruth Roman,Robert Walker,Leo G. Carroll,Patricia Hitchcock,Kasey Rogers
Cavalcade,1933,5.8,4697,7630000,/title/tt0023876/,Drama,Romance,War            ,Frank Lloyd,Diana Wynyard,Clive Brook,Una OConnor,Herbert Mundin,Beryl Mercer,Irene Browne
Meet Me in St. Louis,1944,7.5,21422,7566000,/title/tt0037059/,Comedy,Drama,Family            ,Vincente Minnelli,Judy Garland,Margaret OBrien,Mary Astor,Lucille Bremer,Leon Ames,Tom Drake
Little Women,1949,7.3,6769,7466500,/title/tt0041594/,Drama,Family,Romance            ,Mervyn LeRoy,June Allyson,Peter Lawford,Margaret OBrien,Elizabeth Taylor,Janet Leigh,Rossano Brazzi
Midnight Lace,1960,6.8,4823,7400000,/title/tt0054084/,Drama,Mystery,Thriller            ,David Miller,Doris Day,Rex Harrison,John Gavin,Myrna Loy,Roddy McDowall,Herbert Marshall
Separate Tables,1958,7.4,6875,7400000,/title/tt0052182/,Drama,Romance            ,,Delbert Mann,Deborah Kerr,Rita Hayworth,David Niven,Wendy Hiller,Burt Lancaster,Gladys Cooper
The World of Suzie Wong,1960,7.1,2247,7300000,/title/tt0054483/,Drama,Romance            ,,Richard Quine,William Holden,Nancy Kwan,Sylvia Syms,Michael Wilding,Jacqueline Chan,Laurence Naismith
